"KODE","TEKST","N3"
"M48130","PRURIGO NODULARIS",""
"M48170","INTERTRIGO",""
"M48190","EKSFOLIATIV DERMATITIS",""
"M48200","ERYTRODERMA",""
"M48210","ATOPISK DERMATITIS",""
"M48210","PITYRIASIS",""
"M48400","EKSANTEM",""
"M48410","ERYTHEMA ANNULARE CENTRIFUGUM",""
"M48430","ERYTHEMA CHRONICUM MIGRANS",""
"M48510","AKUT FEBRIL NEUTROFIL DERMATOSE",""
"M48520","PITYRIASIS LICHENOIDES ET VARIOLIFORMIS ACUTA",""
"M48530","ERYTHEMA ELEVATUM DIUTINUM",""
"M48540","DRUG ERUPTION",""
"M48540","LICHENOID DRUG ERUPTION",""
"M48550","ERYTHEMA FIXUM",""
"M48560","ERYTHEMA MULTIFORME",""
"M48570","ERYTHEMA MULTIFORME, STEVENS-JOHNSONS TYPE",""
"M48590","PURPURA ANNULARIS TELEANGIECTOIDES",""
"M48600","PURPURA PIGMENTOSA CHRONICA",""
"M48620","TOKSISK EPIDERMAL NEKROLYSE",""
"M48810","UDGÅET PR. 18/12-80, SE M48820",""
"M48810","SEBOROISK DERMATITIS",""
"M48820","SEBOROISK DERMATITIS",""
"M48820","PITYRIASIS ROSEA",""
"M48830","PITYRIASIS CAPITIS",""
"M48830","PITYRIASIS CAPITIS",""
"M48831","UDGÅET PR. 18/12-80, SE M48850",""
"M48831","PSORIASIS PUSTULOSA",""
"M48840","PSORIASIS",""
"M48848","PSORIASIS GUTTATA",""
"M48850","PSORIASIS PUSTULOSA",""
"M48880","PITYRIASIS ROSEA",""
"M48890","LICHEN PLANUS",""
"M48900","UDGÅET PR. 18/12-80, SE M48890",""
"M48900","LICHEN PLANUS",""
"M48910","LICHEN NITIDUS",""
"M48940","PARAPSORIASIS EN PLAQUE",""
"M48946","PARAPSORIASIS EN PLAQUE, LARGE PLAQUE TYPE",""
"M48950","PARAPSORIASIS",""
"M48960","PARAPSORIASIS GUTTATA",""
"M48980","PITYRIASIS RUBRA PILARIS",""
"M48980","PITHYRIASIS RUBRA PILARIS",""
"M48990","UDGÅET PR. 18/12-80, SE M48980",""
"M48990","PITYRIASIS PILARIS",""
"M49000","FIBROSE",""
"M49001","FOKAL FIBROSE",""
"M49002","DIFFUS FIBROSE",""
"M49005","HYALINISERET FIBROSE",""
"M49020","SKLEROSE",""
"M49021","FOKAL SKLEROSE",""
"M49040","SEGMENTÆR SKLEROSE",""
"M49060","CICATRICE",""
"M49063","ATROFISK AR",""
"M49130","FIBRØS FORTYKKELSE",""
"M49160","GLIOSE",""
"M49210","FIBROSE MED DEFORMERING",""
"M49212","SKRUMPENYRE",""
"M49230","PERIVASKULÆR FIBROSE",""
"M49231","PERISINUSOIDAL FIBROSE",""
"M49232","PERICELLULÆR FIBROSE",""
"M49250","FIBRØS OBLITERATION",""
"M49400","ADHÆRENCE",""
"M49430","FIBRØS ADHÆRENCE",""
"M49460","SYNEKKI",""
"M49500","CIRROSE",""
"M49501","BEGYNDENDE CIRROSE",""
"M49503","CIRROSE MED DELVIS BEVARET ARKITEKTUR",""
"M49504","AKTIV CIRROSE",""
"M49505","KRYPTOGEN CIRROSE",""
"M49506","INAKTIV CIRROSE",""
"M49510","MIKRONODULÆR CIRROSE",""
"M49514","AKTIV MIKRONODULÆR CIRROSE",""
"M49516","INAKTIV MIKRONODULÆR CIRROSE",""
"M49520","MAKRONODULÆR CIRROSE",""
"M49524","AKTIV MAKRONODULÆR CIRROSE",""
"M49526","INAKTIV MAKRONODULÆR CIRROSE",""
"M49527","PRIMÆRT MAKRONODULÆR CIRROSE",""
"M49528","SEKUNDÆR MAKRONODULÆR CIRROSE",""
"M49528","SEKUNDÆRT MAKRONODULÆR CIRROSE",""
"M49530","BLANDET MIKRO- OG MAKRONODULÆR CIRROSE",""
"M49570","KONGESTIV CIRROSE",""
"M49580","SEKUNDÆR BILIÆR CIRROSE",""
"M49590","PRIMÆR BILIÆR CIRROSE",""
"M49591","PRIMÆR BILIÆR CIRROSE, IKKE-CIRROTISK STADIUM",""
"M49592","PRIMÆR BILIÆR CIRROSE, CIRROTISK STADIUM",""
"M49620","SEPTAL FIBROSE",""
"M49640","INDIAN CHILDHOOD CIRROSE",""
"M49660","ALKOHOLISK CIRROSE",""
"M49680","UDGÅET DEN 19/12-85",""
"M49680","POSTNEKROTISK CIRROSE",""
"M49690","POSTHEPATITISK CIRROSE",""
"M49700","EXCESSIV REPARATIV FORANDRING",""
"M49710","PTERYGIUM",""
"M49720","KELOID",""
"M49730","HYPERPLASTISK AR",""
"M49770","TRAUMATISK NEUROM",""
"M49775","MORTONS NEUROM",""
"M49900","KNOGLENYDANNELSE",""
"M49910","KNOGLESKLEROSE",""
"M49920","CALLUS",""
"M50000","DEGENERATIV FORANDRING",""
"M50010","BASOFIL DEGENERATION",""
"M50060","HYALINOSE",""
"M50065","HYALINE GLOBULI",""
"M50070","HYDROPISK FORANDRING",""
"M50080","FEDT DEGENERATION",""
"M50085","MAKROVESIKULÆR STEATOSE",""
"M50086","MIKROVESIKULÆR STEATOSE",""
"M50100","MUKOID DEGENERATION",""
"M50110","BALLOONING DEGENERATION",""
"M50130","FEATHERY DEGENERATION",""
"M50140","ELASTOSE",""
"M50141","AKTINISK ELASTOSE",""
"M50170","KOLLOID MILIUM",""
"M50180","PINGUECULA",""
"M50210","OSTEOPOROSE",""
"M50230","OSTEOARTHRITIS",""
"M50280","NEUROPATISK ARTHRITIS",""
"M50400","MYELIN DEGENERATION",""
"M50410","DEMYELINISERING",""
"M50630","NEUROFIBRILLÆR DEGENERATION",""
"M51100","KATARAKT",""
"M51550","EPIDERMOLYSE",""
"M51570","AKANTOLYSE",""
"M51620","DEGENERATIV CELLEFORANDRING",""
"M51630","ACIDOFILT LEGEME",""
"M52000","ARTERIOSKLEROSE",""
"M52030","MØNCKEBERGS SKLEROSE",""
"M52100","ATEROMATOSE, ATEROMATØST PLAQUE",""
"M52100","UDGÅET PR. 010479",""
"M52100","ATEROMATOSE, ATEROMATØST PLAQUE",""
"M52110","ATEROSKLEROSE",""
"M52110","ATEROSKLEROSE",""
"M52110","ATEROSKLEROSE",""
"M52130","FATTY STREAKS",""
"M52140","ATEROMATOSE, ULCERERET ATEROMATØST PLAQUE",""
"M52140","UDGÅET PR. 010479",""
"M52140","ULCERERET ATEROMATØST PLAQUE",""
"M52200","ARTERIOLOSKLEROSE",""
"M52210","ARTERIOLOSKLEROSE MED FIBRINOID NEKROSE",""
"M52250","HYALIN ARTERIOLOSKLEROSE",""
"M52300","ENDOKARDIAL FIBROELASTOSE",""
"M52320","ENDOKARDIAL FIBROSE",""
"M52400","DEGENERATION I KARVÆG",""
"M52430","UDGÅET PR. 010479",""
"M52430","MOENCKEBORG'S MEDIACALCINOSE",""
"M52470","CYSTISK MEDIANEKROSE",""
"M52600","NON-BAKTERIEL TROMBOTISK ENDOCARDITIS",""
"M52600","NONBAKTERIEL TROMBOTISK ENDOCARDITIS",""
"M53150","AKUT ISKÆMISK NEFROPATI",""
"M53300","GLOMERULOSKLEROSE",""
"M53310","UDGÅET PR. 04.03.82, SE M53312",""
"M53310","INTERKAPILLÆR GLOMERULOSKLEROSE",""
"M53312","DIFFUS INTERKAPILLÆR GLOMERULOSKLEROSE",""
"M53320","NODULÆR INTERKAPILLÆR GLOMERULOSKLEROSE",""
"M53341","FOKAL SEGMENTAL GLOMERULOSKLEROSE",""
"M53360","HEPATISK GLOMERULOSKLEROSE",""
"M54000","NEKROSE",""
"M54001","FOKAL NEKROSE",""
"M54002","DIFFUS NEKROSE",""
"M54003","KONFLUERENDE NEKROSE",""
"M54007","AKUT NEKROSE",""
"M54030","ASEPTISK NEKROSE",""
"M54060","KOAGULATIONSNEKROSE",""
"M54070","BRONEKROSE",""
"M54080","KASEØS NEKROSE",""
"M54090","FIBRINOID NEKROSE",""
"M54110","FEDTNEKROSE",""
"M54120","ZONAL NEKROSE",""
"M54140","PIECEMEAL NEKROSE",""
"M54150","ONKOLYSE",""
"M54200","ISKÆMISK NEKROSE",""
"M54220","OSTEOKONDROSE",""
"M54250","OSTEOCHONDRITIS DISSECANS",""
"M54300","UDGÅET PR. 010479",""
"M54300","POSTMORTEL FORANDRING",""
"M54310","AUTOLYSE",""
"M54330","UDGÅET PR. 010479",""
"M54330","LIVOR MORTIS",""
"M54350","UDGÅET PR. 010479",""
"M54350","RIGOR MORTIS",""
"M54360","UDGÅET PR. 010479",""
"M54360","MUMIFIKATION",""
"M54370","KARNIFIKATION",""
"M54370","KARNIFIKATION",""
"M54400","MALACI",""
"M54600","GANGRÆN",""
"M54640","UDGÅET PR. 010479",""
"M54640","GASGANGRÆN",""
"M54700","INFARKT",""
"M54701","FOKAL INFARCERING",""
"M54703","DIFFUS INFARCERING",""
"M54704","RUMPERET INFARKT",""
"M54705","MASSIV INFARCERING",""
"M54720","AKUT INFARKT",""
"M54730","HÆMORAGISK INFARKT",""
"M54740","ISKÆMISK INFARKT",""
"M54750","OPHELET INFARKT",""
"M54760","SEPTISK INFARKT",""
"M54790","OPHELET OG FRISKT INFARKT",""
"M54840","HÆMORAGISK MUCOSAINFARCERING",""
"M54860","TRANSMURALT INFARKT",""
"M55X00","KRYSTALLER",""
"M55000","AFLEJRING",""
"M55020","HYALIN MEMBRAN",""
"M55030","CORPORA AMYLACEA",""
"M55040","AFLEJRING AF FIBRIN",""
"M55050","GLYKOGEN AFLEJRING",""
"M55070","TOPHUS",""
"M55090","CHARCOT-LEYDEN KRYSTALLER",""
"M55100","AMYLOID AFLEJRING",""
"M55110","FOKAL AMYLOID DEGENERATION",""
"M55115","CONGOFIL ANGIOPATI",""
"M55160","AMYLOID TUMOR",""
"M55200","FEDTAFLEJRING",""
"M55240","KOLESTEROLAFLEJRING",""
"M55250","KOLESTEROLOSE",""
"M55280","FEDTINFILTRATION",""
"M55280","FEDTINFILTRATION",""
"M55300","XANTOM",""
"M55370","XANTELASMA",""
"M55380","JUVENILT XANTOGRANULOM",""
"M55390","RETROPERITONEALT XANTOGRANULOM",""
"M55400","KALCIFIKATION",""
"M55430","DYSTROFISK KALCIFIKATION",""
"M55440","METASTATISK KALCIFIKATION",""
"M55450","DRUSER",""
"M55500","KALCINOSE",""
"M55520","TUMORAL KALCINOSE",""
"M55520","TUMORAL LIPOKALCINOSE",""
"M55590","PSAMMOMLEGEMER",""
"M55600","AFLEJRING AF PROTEIN",""
"M55630","SPLENDORE-HOEPPLI FÆNOMEN",""
"M55640","ALVEOLÆR PROTEINOSE",""
"M55650","UDGÅET PR. 01.03.82",""
"M55650","EPIMEMBRANØS GLOMERULONEFRITIS",""
"M55670","LICHEN MYXØDEMATOSUS",""
"M55680","LOKALISERET MYKSØDEM",""
"M55700","AFLEJRING AF FREMMEDLEGEME",""
"M55710","AFLEJRING AF STRÅLETÆT MATERIALE",""
"M55720","AFLEJRING AF KRYSTALLINSK MATERIALE",""
"M55730","AFLEJRING AF OXALATKRYSTALLER",""
"M55760","UDGÅET PR. 18/12-80, SE M55770",""
"M55760","AFLEJRING AF KULSTØV",""
"M55770","AFLEJRING AF KULSTØV",""
"M55790","AFLEJRING AF SILIKA",""
"M55800","AFLEJRING AF JERN",""
"M55820","AFLEJRING AF ASBESTFIBRE",""
"M55830","AFLEJRING AF BERYLLIUM",""
"M55870","AFLEJRING AF KOBBER",""
"M55890","AFLEJRING AF SØLV",""
"M55930","TATOVERING",""
"M56000","DYSTROFI",""
"M56010","HYPERPLASTISK DYSTROFI",""
"M56020","LIPODYSTROFI",""
"M56440","UDGÅET PR. 010479",""
"M56440","HYPERTRIKOSE",""
"M56650","UDGÅET PR. 010479",""
"M56650","TROMMESTIKNEGLE",""
"M56680","UDGÅET PR. 010479",""
"M56680","ONYKOGRYPOSE",""
"M56750","NEDGROET NEGL",""
"M56750","UDGÅET PR. 010479",""
"M56750","NEDGROET NEGL",""
"M56890","PSEUDOXANTHOMA ELASTICUM",""
"M57000","PIGMENTERING",""
"M57120","HYPOPIGMENTERING",""
"M57130","POSTINFLAMMATORISK HYPOPIGMENTERING",""
"M57140","DEPIGMENTERING",""
"M57160","VITILIGO",""
"M57160","VITILIGO",""
"M57180","POSTINFLAMMATORISK HYPERPIGMENTERING",""
"M57200","MELANINPIGMENTERING",""
"M57210","MELANOSE",""
"M57240","NÆVUS OF OTA",""
"M57250","LENTIGO",""
"M57260","FREGNE",""
"M57330","ACANTHOSIS NIGRICANS",""
"M57340","INCONTINENTIA PIGMENTI",""
"M57400","HÆMOGLOBINPIGMENT",""
"M57450","PORFYRIN PIGMENT",""
"M57500","HÆMOSIDERINPIGMENT",""
"M57510","HÆMOSIDEROSE",""
"M57520","GAMNA-GANDY LEGEME",""
"M57600","GALDEPIGMENT",""
"M57610","IKTERUS",""
"M57620","KERNIKTERUS",""
"M57740","LIPOFUSCINPIGMENT",""
"M57750","CEROIDPIGMENT",""
"M57820","BLYSØM",""
"M58000","ATROFI",""
"M58010","PRIMÆR ATROFI",""
"M58018","KRYPTHYPERTROFISK VILLUS ATROFI",""
"M58080","SERØS ATROFI",""
"M58100","ATROPHIA FUSCA",""
"M58110","SENIL ATROFI",""
"M58120","TRYKATROFI",""
"M58130","DENERVERINGSATROFI",""
"M58130","NEUROTROPISK ATROFI",""
"M58240","LICHEN SCLEROSUS ET ATROPHICUS",""
"M58330","ACRODERMATITIS CHRONICA ATROPHICANS",""
"M58380","LINGUA GEOGRAPHICA",""
"M58388","STOMATITIS GEOGRAPHICA",""
"M58400","VOLKMANNS KONTRAKTUR",""
"M58500","PHTISIS BULBI",""
"M58550","POIKILODERMA ATROPHICANS VASCULARE",""
"M58600","ALOPECI",""
"M58610","ALOPECIA AREATA",""
"M58720","ANDROGEN ALOPECI",""
"M58740","ALOPECIA CICATRISATA",""
"M58790","ALOPECIA MUCINOSA",""
"M59000","UDGÅET SE T59000",""
"M59100","CYTOPENI",""
"M59120","PANCYTOPENI",""
"M61000","ABNORM KARYOTYPE",""
"M61001","NORMAL KARYOTYPE",""
"M61140","UDGÅET 02.01.97 (FEJLOPRETTET), SE T61140",""
"M61140","TUNGETONSIL",""
"M61600","ABNORMT KØNSKROMATIN",""
"M62100","ANEUPLOIDI",""
"M62110","HYPERDIPLOIDI",""
"M62120","TRISOMI",""
"M62140","TRIPLOIDI",""
"M62180","HYPODIPLOIDI",""
"M63200","STRUKTUREL KROMOSOMÆNDRING",""
"M63210","DELETION AF KORT ARM",""
"M63220","PHILADELPHIA-KROMOSOM, PH-1",""
"M63230","DELETION AF LANG ARM",""
"M63600","TRANSLOKATION",""
"M65120","PYKNOSE",""
"M65500","NUKLEÆRT INKLUSIONSLEGEME",""
"M66000","CYTOPLASMAFORANDRING",""
"M66080","CYTOPLASMATISK HYALIN",""
"M66160","MEGAMITOKONDRIE",""
"M66210","GLAT ENDOPLASMATISK RETIKULUMFORANDRING",""
"M66215","INDUKTION",""
"M66500","UDGÅET PR. 01.04.79",""
"M66500","NUKLEÆRT INKLUSIONSLEGEME",""
"M66700","CYTOPLAMASMATISK INKLUSIONSLEGEME",""
"M66730","CYTOPLASMATISK GRANULERING",""
"M66731","NEDSAT CYTOPLASMATISK GRANULERING",""
"M66737","ØGET CYTOPLASMATISK GRANULERING",""
"M66760","CYTOPLASMATISKE GLOBULI",""
"M66770","ASTEROIDLEGEME",""
"M68100","BASALMEMBRANFORANDRING",""
"M68130","DIFFUS MEMBRANØS GLOMERULONEPHRITIS",""
"M69000","ABNORM CELLE",""
"M69140","UDGÅET PR. 12.03.82. SE M51620",""
"M69140","DEGENERATIV CELLEFORANDRING",""
"M69210","KÆMPECELLE",""
"M69211","FREMMEDLEGEMEKÆMPECELLE",""
"M69212","TOUTON KÆMPECELLE",""
"M69213","LANGHANS KÆMPECELLE",""
"M69220","MEGALOCYT",""
"M69240","MAKROCYTOSE",""
"M69280","MIKROCYTOSE",""
"M69320","TADPOLE CELLE",""
"M69350","DRÅBEFORMET ERYTROCYT",""
"M69510","FAGOCYTERENDE CELLE",""
"M69520","SKUMCELLE",""
"M69550","LIPOFAG",""
"M697X0","MODERAT KOILOCYTOTISK ATYPI",""
"M697Y0","SVÆR KOILOCYTOTISK ATYPI",""
"M69700","ATYPISKE CELLER",""
"M69701","LET SUSPEKTE CELLER",""
"M69702","SUSPEKTE CELLER",""
"M69703","STÆRKT SUSPEKTE CELLER",""
"M69706","LET ATYPI",""
"M69707","MODERAT ATYPI",""
"M69708","SVÆR ATYPI",""
"M69711","ATYPISKE PLADEEPITELCELLER",""
"M69712","ATYPISKE CYLINDEREPITELCELLER",""
"M69760","MALIGNITETSSUSPEKTE CELLER",""
"M69761","UDGÅET PR. 25.01.96 - SE M69711",""
"M69761","ATYPISKE PLADEEPITELCELLER",""
"M69762","UDGÅET PR. 25.01.96 - SE M69712",""
"M69762","ATYPISKE CYLINDEREPITELCELLER",""
"M69780","INFLAMMATIONSBETINGET CELLEFORANDRING",""
"M69784","TISSUE REPAIR",""
"M69790","KOILOCYTOSE",""
"M69790","LET KOILOCYTOTISK ATYPI",""
"M69800","NORMALT CYTOHORMONALT MØNSTER",""
"M69810","ABNORMT CYTOHORMONALT MØNSTER",""
"M69820","ØSTROGENEFFEKT",""
"M69830","INGEN ØSTROGENEFFEKT",""
"M69870","PROGESTERONEFFEKT",""
"M69880","GRAVIDITETSPRÆGET CYTOHORMONALT MØNSTER",""
"M70010","ABNORM ENDOKONDRAL OSSIFIKATION",""
"M70110","RETARDERET UDVIKLING",""
"M70800","INVOLUTION",""
"M70810","SUBINVOLUTION",""
"M70980","KERUBISME",""
"M71000","HYPERTROFI",""
"M71070","KONGESTIV HYPERTROFI",""
"M71076","AKUT KONGESTIV HYPERTROFI",""
"M71077","KRONISK KONGESTIV HYPERTROFI",""
"M71110","JUVENIL MAMMAHYPERTROFI",""
"M71330","MENETRIERS SYGDOM",""
"M71430","OSTEOFYT",""
"M71440","EKSOSTOSE",""
"M71570","HYPERCEMENTOSE",""
"M71600","STRUMA",""
"M71601","DIFFUS STRUMA",""
"M71602","NODØS STRUMA",""
"M71620","KOLLOID STRUMA",""
"M71621","DIFFUS KOLLOID STRUMA",""
"M71622","NODØS KOLLOID STRUMA",""
"M71640","HYPERPLASTISK STRUMA",""
"M71641","DIFFUS HYPERPLASTISK STRUMA",""
"M71642","NODØS HYPERPLASTISK STRUMA",""
"M71650","INTRATORAKAL STRUMA",""
"M71800","ADIPOSITAS",""
"M72000","HYPERPLASI",""
"M72001","FOKAL HYPERPLASI",""
"M72003","DIFFUS HYPERPLASI",""
"M72005","ATYPISK HYPERPLASI",""
"M72009","PRÆKANKRØS HYPERPLASI",""
"M72010","PRIMÆR HYPERPLASI",""
"M72020","SEKUNDÆR HYPERPLASI",""
"M72030","NODULÆR HYPERPLASI (ADENOMATØS)",""
"M72031","FOKAL NODULÆR HYPERPLASI",""
"M72032","MULTIFOKAL NODULÆR HYPERPLASI",""
"M72040","HYPERPLASTISK/METAPLASTISK POLYP",""
"M72050","PAPILLÆR HYPERPLASI",""
"M72060","IRREGULÆR HYPERPLASI",""
"M72065","HYPERPLASI MED SEKRETORISK TRANSFORMATION",""
"M72065","IRREGULÆR HYPERPLASI MED SEKRETORISK TRANSFORMATION",""
"M72067","INAKTIV IRREGULÆR HYPERPLASI",""
"M72080","MESOTELHYPERPLASI",""
"M72090","PSEUDOKARCINOMATØS EPITELHYPERPLASI",""
"M72100","LOBULÆR HYPERPLASI",""
"M72101","FOKAL LOBULÆR HYPERPLASI",""
"M72105","ATYPISK LOBULÆR HYPERPLASI",""
"M72110","FOVEOLÆR HYPERPLASI",""
"M72120","RESERVECELLEHYPERPLASI",""
"M72125","ATYPISK RESERVECELLEHYPERPLASI",""
"M72130","PLADEEPITELCELLEHYPERPLASI",""
"M72170","DUKTAL HYPERPLASI",""
"M72175","ATYPISK DUKTAL HYPERPLASI",""
"M72190","NODULÆR REGENERATIV HYPERPLASI",""
"M72200","NODULÆR LYMFATISK HYPERPLASI",""
"M72201","FOKAL NODULÆR LYMFATISK HYPERPLASI",""
"M72203","DIFFUS LYMFATISK HYPERPLASI",""
"M72205","ATYPISK LYMFOID HYPERPLASI",""
"M72206","STARRY-SKY MØNSTER",""
"M72208","PSEUDOFOLLIKULÆR FORANDRING",""
"M72210","SPIEGLER-FENDTS BENIGNE LYMFOCYTOM",""
"M72220","DERMATOPATISK LYMFADENOPATI",""
"M72230","LYMFOMATOID PAPULOSE",""
"M72240","BENIGN LYMFOEPITELIAL LÆSION",""
"M72241","LYMFOEPITELIAL LÆSION",""
"M72260","CASTLEMANS SYGDOM",""
"M72260","BENIGN ANGIOFOLLIKULÆR HYPERPLASI",""
"M72270","UDGÅET PR. 01.01.72",""
"M72280","ANGIOIMMUNOBLASTISK LYMFADENOPATI",""
"M72290","PSEUDOLYMFOM",""
"M72295","ATYPISK PSEUDOLYMFOM",""
"M72400","ADENOMATØS OG STROMAL HYPERPLASI",""
"M72420","ADENOMATØS HYPERPLASI",""
"M72430","STROMAHYPERPLASI",""
"M72440","ADENOMYOMATØS HYPERPLASI",""
"M72460","FIBROMUSKULÆR HYPERPLASI",""
"M72480","MIKROGLANDULÆR HYPERPLASI",""
"M72530","CLEAR CELL AKANTOM",""
"M72550","LIPOHYPERPLASI",""
"M72570","VASKULÆR HYPERPLASI",""
"M72580","HYPERPLASI AF MESONEFRISK GANG",""
"M72600","HYPERKERATOSE",""
"M72602","REAKTIV HYPERKERATOSE",""
"M72609","HYPERKERATOSE MED DYSPLASI",""
"M72710","AKANTOSE",""
"M72740","CLAVUS",""
"M72750","SEBOROISK KERATOSE",""
"M72750","PAPILLOMA BASOCELLULARE",""
"M72751","IRRITERET SEBOROISK KERATOSE",""
"M72761","LICHENOID KERATOSE",""
"M72762","LICHEN PLANUS LIGNENDE REAKTION",""
"M72770","HÅRTUNGE",""
"M72790","ACROKERATOSIS VERRUCIFORMIS",""
"M72830","LEUKOPLAKI",""
"M72832","LEUKOKERATOSE",""
"M72840","CORNU CUTANEUM",""
"M72850","KERATOSIS ACTINICA",""
"M72860","KERATOAKANTOM",""
"M72900","KOLESTEATOM",""
"M72920","INVERTERET FOLLIKULÆR KERATOSE",""
"M72930","KERATOSIS PALMARIS ET PLANTARIS",""
"M72940","POROKERATOSIS",""
"M72990","KERATOSIS PILARIS",""
"M73000","METAPLASI",""
"M73005","ATYPISK METAPLASI",""
"M73040","HYPERTHECOSIS",""
"M73050","ONKOCYTÆR METAPLASI",""
"M73220","PLANOCELLULÆR METAPLASI",""
"M73225","ATYPISK PLANOCELLULÆR METAPLASI",""
"M73229","PLANOCELLULÆR METAPLASI MED DYSPLASI",""
"M73260","TRANSITIOCELLULÆR METAPLASI",""
"M73271","CILIERET METAPLASI",""
"M733A0","TUBAR METAPLASI",""
"M73300","GLANDULÆR METAPLASI",""
"M73309","GLANDULÆR METAPLASI MED DYSPLASI",""
"M73310","APOKRIN METAPLASI",""
"M73320","INTESTINAL METAPLASI",""
"M73330","GASTRISK METAPLASI",""
"M73340","URETERITIS CYSTICA",""
"M73350","PYELITIS CYSTICA",""
"M73370","CYSTITIS CYSTICA",""
"M73380","NEFROGENT ADENOM'",""
"M73390","NEKROTISERENDE GLANDULÆR METAPLASI",""
"M73400","OSSØS METAPLASI",""
"M73410","MYOSITIS OSSIFICANS",""
"M73500","MYELOID METAPLASI",""
"M73600","KONDROID METAPLASI",""
"M73670","SYNOVIAL KONDROMATOSE",""
"M74AA9","LET KERATINISERENDE DYSPLASI",""
"M74AB9","LET IKKE-KERATINISERENDE DYSPLASI",""
"M74AC9","LET METAPLASTISK DYSPLASI",""
"M74AD9","LET BLANDET TYPE DYSPLASI",""
"M74AE9","LET POSTIRRADIATIV DYSPLASI",""
"M74A09","LET DYSPLASI",""
"M74BA9","MODERAT KERATINISERENDE DYSPLASI",""
"M74BB9","MODERAT IKKE-KERATINISERENDE DYSPLASI",""
"M74BC9","MODERAT METAPLASTISK DYSPLASI",""
"M74BD9","MODERAT BLANDET TYPE DYSPLASI",""
"M74BE9","MODERAT POSTIRRADIATIV DYSPLASI",""
"M74B09","MODERAT DYSPLASI",""
"M74CA9","SVÆR KERATINISERENDE DYSPLASI",""
"M74CB9","SVÆR IKKE-KERATINISERENDE DYSPLASI",""
"M74CC9","SVÆR METAPLASTISK DYSPLASI",""
"M74CD9","SVÆR BLANDET TYPE DYSPLASI",""
"M74CE9","SVÆR POSTIRRADIATIV DYSPLASI",""
"M74C09","SVÆR DYSPLASI",""
"M740A9","KERATINISERENDE DYSPLASI",""
"M740B9","IKKE-KERATINISERENDE DYSPLASI",""
"M740C9","METAPLASTISK DYSPLASI",""
"M740D9","BLANDET TYPE DYSPLASI",""
"M740E9","POSTIRRADIATIV DYSPLASI",""
"M74000","DYSPLASI",""
"M74009","DYSPLASI",""
"M74009","DYSPLASI",""
"M74010","DYSKERATOSE",""
"M74011","FOKAL DYSKERATOSE",""
"M74030","PARAKERATOSE",""
"M74040","XERODERMA PIGMENTOSUM",""
"M74060","ELASTOSIS PERFORANS SERPIGINOSA",""
"M74103","DIFFUS LIPOMATOSE",""
"M74200","ADENOSE",""
"M74220","SKLEROSERENDE ADENOSE",""
"M74221","ADENOSETUMOR",""
"M74240","BLUNT DUCT ADENOSE",""
"M74320","FIBROADENOMATOSE",""
"M74325","ATYPISK FIBROADENOMATOSE",""
"M74410","ICHTHYOSIS",""
"M74440","DYSKERATOSIS FOLLICULARIS, DARIERS SYGDOM",""
"M74441","UDGÅET PR. 18/12-80, SE M74450",""
"M74441","WARTY DYSKERATOMA",""
"M74450","WARTY DYSKERATOMA",""
"M74480","HEREDITÆR BENIGN INTRAEPITELIAL DYSKERATOSE",""
"M74500","OSTEOKONDRODYSPLASI",""
"M74810","OSTEITIS FIBROSA",""
"M74840","OSTEITIS FIBROSA CYSTICA (BROWN TUMOUR OF HYPERPARATHYREOID.)",""
"M74850","ANGIODYSPLASI",""
"M74870","CEMENTAL DYSPLASI",""
"M74910","FIBRØS DYSPLASI",""
"M74940","FIBRØS KORTIKAL DEFEKT (NON-OSSIFICERENDE FIBROM)",""
"M74970","OSTEITIS DEFORMANS (PAGET'S DISEASE OF BONE)",""
"M75010","MODNINGSSTOP",""
"M75300","HYPOPLASI",""
"M75320","LYMFOCYTÆR HYPOPLASI",""
"M75400","APLASI",""
"M75500","HAMARTOM",""
"M75520","KORISTOM",""
"M75530","CONNECTIVE TISSUE NÆVUS",""
"M75540","NÆVUS FLAMMEUS",""
"M75620","BILIÆRT MIKROHAMARTOM",""
"M75630","HAMARTOMATØS POLYP",""
"M75640","JUVENIL POLYP",""
"M75700","EPIDERMALT NÆVUS",""
"M75740","NÆVUS VERRUCOSUS",""
"M75750","NÆVUS SEBACEUS",""
"M75760","NÆVUS LIPOMATOSUS",""
"M75900","HÆMATOPOIETISK MODNINGSFORSTYRRELSE",""
"M75920","HÆMATOPOIETISK MODNINGSSTOP",""
"M75920","MODNINGSSTOP",""
"M75930","VENSTREFORSKYDNING",""
"M75940","HØJREFORSKYDNING",""
"M75950","MEGALOBLASTISK FORANDRING",""
"M75950","MEGALOBLASTISK ERYTROPOIESE",""
"M75960","ERYTROPOIETISK MODNINGSSTOP",""
"M75970","MYELODYSPLASTISKE TRÆK",""
"M76000","PROLIFERATION",""
"M76005","ATYPISK PROLIFERATION",""
"M76020","CELLULÆR PROLIFERATION",""
"M76026","FIBRØS PROLIFERATION",""
"M76040","MYOEPITELIAL PROLIFERATION",""
"M76060","VON BRUNNSKE CELLEREDER",""
"M76070","INTIMAPROLIFERATION",""
"M76085","ATYPISK EPITELPROLIFERATION",""
"M76090","VASKULÆR PROLIFERATION",""
"M76090","KARPROLIFERATION",""
"M76100","FIBROMATOSE",""
"M76120","DUPUYTRENS KONTRAKTUR",""
